id,column_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,toxic_label,severe_toxic_label,obscene_label,threat_label,insult_label,identity_hate_label
00001cee341fdb12,"Yo bitch Ja Rule is more succesful then you'll ever be whats up with you and hating you sad mofuckas...i should bitch slap ur pethedic white faces and get you to kiss my ass you guys sicken me. Ja rule is about pride in da music man. dont diss that shit on him. and nothin is wrong bein like tupac he was a brother too...fuckin white boys get things right next time.,",0.833,0.75,1,0.25,1,0.333,1,1,1,0,1,0
0000247867823ef7,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
00013b17ad220c46,""" 

 == Sources == 

 * Zawe Ashton on Lapland —  /  """,0,0,0,0,0,0,0,0,0,0,0,0
00017563c3f7919a,":If you have a look back at the source, the information I updated was the correct form. I can only guess the source hadn't updated. I shall update the information once again but thank you for your message.",0,0,0,0,0,0,0,0,0,0,0,0
00017695ad8997eb,I don't anonymously edit articles at all.,0.167,0,0,0,0.2,0,0,0,0,0,0,0
0001ea8717f6de06,Thank you for understanding. I think very highly of you and would not revert without discussion.,0,0,0,0,0,0,0,0,0,0,0,0
00024115d4cbde0f,"Please do not add nonsense to Wikipedia. Such edits are considered vandalism and quickly undone. If you would like to experiment, please use the sandbox instead. Thank you.   -",0,0,0,0,0,0,0,0,0,0,0,0
000247e83dcc1211,:Dear god this site is horrible.,0.667,0,0,0,0.2,0,1,0,0,0,0,0
00025358d4737918,""" 
 Only a fool can believe in such numbers. 
 The correct number lies between 10 000 to 15 000. 
 Ponder the numbers carefully.  

 This error will persist for a long time as it continues to reproduce... The latest reproduction I know is from ENCYCLOPÆDIA BRITANNICA ALMANAC 2008 wich states 
 Magnittude: 8.7 (fair enough) 
 victims: 70 000 (today 10 000 to 15 000 is not """"a lot"""" so I guess people just come out with a number that impresses enough, I don't know. But I know this: it's just a shameless lucky number that they throw in the air. 
 GC 

 """,0,0,0,0,0,0,0,0,0,0,0,0
00026d1092fe71cc,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
0002eadc3b301559,I think its crap that the link to roggenbier is to this article. Somebody that knows how to do things should change it.,0.5,0,0.4,0,0.4,0,1,0,0,0,0,0
0002f87b16116a7f,"""::: Somebody will invariably try to add Religion?  Really??  You mean, the way people have invariably kept adding """"Religion"""" to the Samuel Beckett infobox?  And why do you bother bringing up the long-dead completely non-existent """"Influences"""" issue?  You're just flailing, making up crap on the fly. 
 ::: For comparison, the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories!    

 """,0,0,0,0,0,0,0,0,0,0,0,0
0003806b11932181,", 25 February 2010 (UTC) 

 :::Looking it over, it's clear that  (a banned sockpuppet of ) ignored the consensus (&, fwiw, policy-appropriate) choice to leave the page at Chihuahua (Mexico) and the current page should be returned there. Anyone have the time to fix the incoming links? -  18:24",0,0,0,0,0,0,0,0,0,0,0,0
0003e1cccfd5a40a,""" 

 It says it right there that it IS a type. The """"Type"""" of institution is needed in this case because there are three levels of SUNY schools: 
 -University Centers and Doctoral Granting Institutions 
 -State Colleges 
 -Community Colleges. 

 It is needed in this case to clarify that UB is a SUNY Center. It says it even in Binghamton University, University at Albany, State University of New York, and Stony Brook University. Stop trying to say it's not because I am totally right in this case.""",0,0,0,0,0,0,0,0,0,0,0,0
00059ace3e3e9a53,""" 

 == Before adding a new product to the list, make sure it's relevant == 

 Before adding a new product to the list, make sure it has a wikipedia entry already, """"proving"""" it's relevance and giving the reader the possibility to read more about it. 
 Otherwise it could be subject to deletion. See this article's revision history.""",0,0,0,0,0,0,0,0,0,0,0,0
000634272d0d44eb,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
000663aff0fffc80,this other one from 1897,0,0,0,0,0,0,0,0,0,0,0,0
000689dd34e20979,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
000834769115370c,":: Wallamoose was changing the cited material to say things the original source did not say. In response to his objections, I modified the article as we went along. I was not just reverting him. I repeatedly asked him to use the talk page. I've been trying to add to the article for a long time.  It's so thin on content. This is wrong.",0,0,0,0,0,0,0,0,0,0,0,0
000844b52dee5f3f,|blocked]] from editing Wikipedia.   |,0,0,0,0,0,0,0,0,0,0,0,0
00084da5d4ead7aa,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
00091c35fa9d0465,#ERROR!,0.667,0.25,0.4,0.25,0.4,0,1,0,0,0,0,0
000968ce11f5ee34,"Please stop. If you continue to vandalize Wikipedia, as you did to Homosexuality, you will be blocked from editing.",0,0,0,0,0,0,0,0,0,0,0,0
0009734200a85047,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0
00097b6214686db5,":yeah, thanks for reviving the tradition of pissing all over articles because you want to live out your ethnic essentialism. Why let mere facts get into the way of enjoying that.",0,0,0,0,0,0,0,0,0,0,0,0
